"","Bias_num","title","description","channel","id"
"11",0,"""""Obama out:"""" President Barack Obama's hilarious final White House correspondents' dinner speech","As President Obama gets set to leave office, take a look back at one of his most memorable moments when he didn't hold back in his final speech at the White House correspondents' dinner firing barbs at himself, Donald Trump, Justin Trudeau, Hillary Clinton, Bernie Sanders and Ted Cruz.For more info, please go to http://www.globalnews.caSubscribe to Global News Channel HERE: http://bit.ly/20fcXDcLike Global News on Facebook HERE: http://bit.ly/255GMJQFollow Global News on Twitter HERE: http://bit.ly/1Toz8mt","Global News","NxFkEj7KPC0"
"12",1,"Jim Jefferies on how he got Brad Pitt to do the weather on his comedy show.","Catch “The Jim Jefferies Show” Tuesday’s at 10:30p.m. on Comedy Central. This segment aired on the KTLA Morning News, Friday, July 14, 2017.","KTLA 5","oECEqyLywgE"
"13",0,"Full Interview: Edward Snowden On Trump, Privacy, And Threats To Democracy | The 11th Hour | MSNBC","On the eve of his memoir 'Permanent Record' being published, NSA whistleblower Edward Snowden talked at length from Moscow with MSNBC's Brian Williams in an exclusive interview. This is their discussion in its entirety, edited down slightly for clarity. Aired on 9/17/2019.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcFull Interview: Edward Snowden On Trump, Privacy, And Threats To Democracy | The 11th Hour | MSNBC","MSNBC","e9yK1QndJSM"
"14",0,"Language Expert: Donald Trump's Way Of Speaking Is 'Oddly Adolescent' | The 11th Hour | MSNBC","Columbia University professor of linguistics John McWhorter joins to discuss the unique way Donald Trump speaks which is unlike any president America's had before.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Google+: http://on.msnbc.com/PlusmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcFollow MSNBC on Tumblr: http://on.msnbc.com/LeanWithmsnbcLanguage Expert: Donald Trump's Way Of Speaking Is 'Oddly Adolescent' | The 11th Hour | MSNBC","MSNBC","phsU1vVHOQI"
"15",0,"The 11th Hour With Brian Williams Highlights: June 23 | MSNBC","Get the latest news and commentary from Brian Williams weeknights on The 11th Hour. » Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news and in-depth analysis of the headlines, as well as informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcThe 11th Hour With Brian Williams Highlights: June 23 | MSNBC","MSNBC","hNu6YslLghs"
"16",0,"Trump An Incoherent Spectacle At G7; W.H. Struggles To Clean Up | Rachel Maddow | MSNBC","Rachel Maddow reviews a string of a string of instances from the G7 summit in which Donald Trump said something false, or self-contradictory, or simply absurd, making himself a global laughing stock, compromising the credibility of the United States on the world stage, and leaving the White House scrambling to offer corrections and clarifications.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump An Incoherent Spectacle At G7; W.H. Struggles To Clean Up | Rachel Maddow | MSNBC","MSNBC","FEpwkaJQh1k"
"17",0,"Stephen Merchant | Full Q&A | Oxford Union","SUBSCRIBE for more speakers ► http://is.gd/OxfordUnionOxford Union on Facebook: https://www.facebook.com/theoxfordunionOxford Union on Twitter: @OxfordUnionWebsite: http://www.oxford-union.org/Merchant is best known for his collaborations with Ricky Gervais and Karl Pilkington, as the co-writer and co-director of the popular British sitcom The Office (2001–2003), co-writer and co-star of Extras (2005–2007) and co-host of The Ricky Gervais Show in its radio, podcast, audiobook and television formats; the radio version won a bronze Sony Award. He is also known for his voice role as Wheatley in the 2011 video game Portal 2.Merchant appeared as himself in the BBC series Life's Too Short (2011–2013), which he co-wrote and co-directed. He also voiced the computer program ConRad on The Simpsons in the 2016 episode """"The Girl Code"""", co-developed the Sky1 travel series An Idiot Abroad (2010–2011) and performs as a stand-up comedian. He starred in his first play, Richard Bean's The Mentalists, at London's Wyndham's Theatre from July to August 2015. His varied endeavors have earned him three BAFTA Awards, four British Comedy Awards and a Primetime Emmy Award.ABOUT THE OXFORD UNION SOCIETY: The Oxford Union is the world's most prestigious debating society, with an unparalleled reputation for bringing international guests and speakers to Oxford. Since 1823, the Union has been promoting debate and discussion not just in Oxford University, but across the globe.","OxfordUnion","6Vn6ecRR8LE"
"18",0,"Mark Cuban | Full Q&A | Oxford Union","SUBSCRIBE for more speakers ► http://is.gd/OxfordUnionOxford Union on Facebook: https://www.facebook.com/theoxfordunionOxford Union on Twitter: @OxfordUnionWebsite: http://www.oxford-union.org/Mark Cuban is an American businessman and investor. He is the owner of the National Basketball Association's Dallas Mavericks, co-owner of 2929 Entertainment and chairman of AXS TV. He is also one of the main """"shark"""" investors on the ABC reality television series, Shark Tank.ABOUT THE OXFORD UNION SOCIETY: The Oxford Union is the world's most prestigious debating society, with an unparalleled reputation for bringing international guests and speakers to Oxford. Since 1823, the Union has been promoting debate and discussion not just in Oxford University, but across the globe.","OxfordUnion","ii36plwJAnc"
"19",0,"Bill Maher | Full Q&A | Oxford Union","*Contains Strong Language*SUBSCRIBE for more speakers ► http://is.gd/OxfordUnionOxford Union on Facebook: https://www.facebook.com/theoxfordunionOxford Union on Twitter: @OxfordUnionWebsite: http://www.oxford-union.org/William """"Bill"""" Maher, Jr. is an American comedian, writer, producer, political commentator, actor, media critic, and television host. As a television host, he is well known for the HBO political talk show Real Time with Bill Maher (2003–present). Maher previously hosted a similar late-night show called Politically Incorrect, originally on Comedy Central and later on ABC.Maher is known for his sarcastic attitude, political satire and sociopolitical commentary. He targets many topics including religion, politics, bureaucracies, political correctness, and the mass media.ABOUT THE OXFORD UNION SOCIETY: The Union is the world's most prestigious debating society, with an unparalleled reputation for bringing international guests and speakers to Oxford. It has been established for 189 years, aiming to promote debate and discussion not just in Oxford University, but across the globe.","OxfordUnion","MPb1VNt2EOo"
"20",0,"Jordan Peterson | Full Address and Q&A | Oxford Union","SUBSCRIBE for more speakers ► http://is.gd/OxfordUnionOxford Union on Facebook: https://www.facebook.com/theoxfordunionOxford Union on Twitter: @OxfordUnionWebsite: http://www.oxford-union.org/A Professor of Psychology at the University of Toronto, Peterson has received considerable media coverage after publishing a series of videos criticising the Canadian government's move to enact Bill C-16, which made misgendering a form of hate speech.  His recent bestselling book, 12 Rules for Life: An Antidote to Chaos topped the Washington Post, WSJ and Reuters U.S bestsellers listsABOUT THE OXFORD UNION SOCIETY: The Oxford Union is the world's most prestigious debating society, with an unparalleled reputation for bringing international guests and speakers to Oxford. Since 1823, the Union has been promoting debate and discussion not just in Oxford University, but across the globe.","OxfordUnion","UZMIbo_DxJk"
"21",0,"Ricky Gervais | Full Q&A | Oxford Union","SUBSCRIBE for more speakers ► http://is.gd/OxfordUnionOxford Union on Facebook: https://www.facebook.com/theoxfordunionOxford Union on Twitter: @OxfordUnionWebsite: http://www.oxford-union.org/Creator and star of The Office and Extras, Ricky Gervais has won three Golden Globes, two Primetime Emmys and seven BAFTAs. The Office is the most successful British comedy of all time, shown in more than 90 countries with seven remakes. Gervais has returned to stand-up comedy for the first time in seven years, touring his new show Humanity worldwide.ABOUT THE OXFORD UNION SOCIETY: The Oxford Union is the world's most prestigious debating society, with an unparalleled reputation for bringing international guests and speakers to Oxford. Since 1823, the Union has been promoting debate and discussion not just in Oxford University, but across the globe.","OxfordUnion","xwED4v5G3HA"
"22",0,"Indian Election Update | Patriot Act with Hasan Minhaj | Netflix","On this segment from the latest episode of Patriot Act, Hasan examines the results of the recent 17th Lok Sabha election in which Indian Prime Minister Narendra Modi and his BJP party maintained their control in a landslide victory throughout the country. After analyzing the state of Indian politics in the lead up to the election on a previous episode, Hasan takes a look at exactly how the BJP managed to pull off such a lopsided win and what it says about Modi’s agenda for the largest democracy in the world.Watch Patriot Act with Hasan Minhaj on Netflix: https://www.netflix.com/title/80239931 #Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world's leading internet entertainment service with over 148 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80Ir","Patriot Act","iQaSU1VT-vM"
"23",0,"Cricket Corruption | Patriot Act with Hasan Minhaj | Netflix","On the latest episode of Patriot Act, Hasan takes a look at the history and politics behind one of the biggest sports in the world: cricket. With billions of fans scheduled to tune into the upcoming 2019 Cricket World Cup, Hasan examines how the game has evolved from a sport of British colonizers into a tool of diplomacy and a force for good despite recent scandals and corruption. Hasan also explores how cricket has especially grown in India due in part to the creation of the IPL, a flashy professional cricket league founded by the infamous Lalit Modi, and how that expansion has unfortunately come at the expense of the growth of cricket in other countries.Watch Patriot Act with Hasan Minhaj on Netflix: https://www.netflix.com/title/80239931 #Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world's leading internet entertainment service with over 148 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80Ir","Patriot Act","v5DWJv1hiwM"
"24",0,"Indian Elections | Patriot Act with Hasan Minhaj | Netflix","On the latest episode of Patriot Act, Hasan analyzes the current state of politics in India and what it means to him as an Indian-American, with a focus on the country’s upcoming elections. With around 900 million voters, India has the largest and one of the most complex democracies in the world. Hasan discusses how recent conflicts with Pakistan, widespread economic issues under current  Prime Minister Narendra Modi, a resurgence of Hindu nationalism, and corruption scandals amongst major political parties in the country will play a role in determining the future, and the identity, of India.Watch Patriot Act with Hasan Minhaj on Netflix: https://www.netflix.com/title/80239931 #Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world’s leading Internet television network with over 93.8 million members in over 190 countries enjoying more than 125 million hours of TV shows and movies per day, including original series, documentaries and feature films. Members can watch as much as they want, anytime, anywhere, on nearly any Internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80IrIndian Elections | Patriot Act with Hasan Minhaj | Netflixhttps://www.youtube.com/patriotact","Patriot Act","qqZ_SH9N3Xo"
"25",0,"We're Doing Elections Wrong | Patriot Act with Hasan Minhaj | Netflix","How did the 2020 presidential election in America come down to Donald Trump vs. Joe Biden? Hasan illustrates why our partisan, two-party system is the result of winner-take-all elections and why ranked choice voting is a much more democratic alternative. He also talks to U.S. Representative Alexandria Ocasio-Cortez (D-NY) about the ideological divide in the Democratic party between moderates and progressives.Watch Patriot Act with Hasan Minhaj on Netflix:https://www.netflix.com/title/80239931#Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world's leading streaming entertainment service with 183 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80Ir","Patriot Act","MykMQfmLIro"
"26",0,"The Legal Marijuana Industry Is Rigged | Patriot Act with Hasan Minhaj | Netflix","As rich, white business owners monopolize newly-available marijuana licenses, states continue to arrest people of color for cannabis crimes, even after it’s legal. This leads Hasan to ask: if cannabis can’t be legalized fairly, should it be legalized at all?Watch Patriot Act with Hasan Minhaj on Netflix:https://www.netflix.com/title/80239931#Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world's leading streaming entertainment service with 183 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80Ir","Patriot Act","JP3416CgU0Q"
"27",0,"Is College Still Worth It? | Patriot Act with Hasan Minhaj | Netflix","Hasan explores how universities became corporatized over the past few decades and if the rising costs of college are still worth it in a post-pandemic world.Watch Patriot Act with Hasan Minhaj on Netflix:https://www.netflix.com/title/80239931#Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world's leading streaming entertainment service with 183 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80Ir","Patriot Act","YytF2v7Vvw0"
"28",0,"Saudi Arabia + Censorship In China | Patriot Act with Hasan Minhaj | Netflix","On the first new episode of Patriot Act in 2019, Hasan addresses the government of Saudi Arabia's legal demand to take down an episode of the show in that country, and turns his focus to another country with restrictive censorship laws: China. But by using the Internet, Chinese activists are making their voices heard and a determined #MeToo movement may be creating lasting change.Watch Patriot Act with Hasan Minhaj on Netflix: https://www.netflix.com/title/80239931 #Netflix #PatriotAct #HasanMinhajSubscribe: https://bit.ly/2OHQXpOAbout Patriot Act with Hasan Minhaj:New episodes, new topics, every Sunday - only on Netflix. Hasan Minhaj brings an incisive and nuanced perspective to global news, politics, and culture in his unique comedy series. Subscribe to the Patriot Act channel now to stay up to date with episode clips and original content from Hasan and the Patriot Act team.About Netflix:Netflix is the world’s leading Internet television network with over 93.8 million members in over 190 countries enjoying more than 125 million hours of TV shows and movies per day, including original series, documentaries and feature films. Members can watch as much as they want, anytime, anywhere, on nearly any Internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.Connect with Patriot Act with Hasan Minhaj Online:Visit Patriot Act with Hasan Minhaj WEBSITE: https://bit.ly/2JbZISSLike Patriot Act with Hasan Minhaj on FACEBOOK: https://bit.ly/2R5RAWYFollow Patriot Act with Hasan Minhaj on TWITTER: https://bit.ly/2CWqPkNFollow Patriot Act with Hasan Minhaj on INSTAGRAM: https://bit.ly/2OH80IrSaudi Arabia + Censorship In China | Patriot Act with Hasan Minhaj | Netflixhttps://www.youtube.com/patriotact","Patriot Act","Ad-YqwhUsTE"
"29",0,"How one tweet can ruin your life | Jon Ronson","For the longest time Jon Ronson reveled in the fact that Twitter gave a voice to the voiceless ... the social media platform gave us all a chance to speak up and hit back at perceived injustice. But somewhere along the way, things took a turn. In this passionate, eloquent talk, Ronson explains how too often we end up behaving like a baying mob — and that it's time to rethink how we interact with others online.TEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and much more.Find closed captions and translated subtitles in many languages at http://www.ted.com/translateFollow TED news on Twitter: http://www.twitter.com/tednewsLike TED on Facebook: https://www.facebook.com/TEDSubscribe to our channel: http://www.youtube.com/user/TEDtalksD...","TED","wAIP6fI0NAI"
"30",0,"This could be why you're depressed or anxious | Johann Hari","Visit http://TED.com to get our entire library of TED Talks, subtitles, translations, personalized Talk recommendations and more.In a moving talk, journalist Johann Hari shares fresh insights on the causes of depression and anxiety from experts around the world -- as well as some exciting emerging solutions. """"If you're depressed or anxious, you're not weak and you're not crazy -- you're a human being with unmet needs,"""" Hari says.The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com/Follow TED on Twitter: http://www.twitter.com/TEDTalksLike TED on Facebook: https://www.facebook.com/TEDSubscribe to our channel: https://www.youtube.com/TED","TED","MB5IX-np5fE"
"31",0,"Strange answers to the psychopath test | Jon Ronson","Is there a definitive line that divides crazy from sane? With a hair-raising delivery, Jon Ronson, author of The Psychopath Test, illuminates the gray areas between the two. (With live-mixed sound by Julian Treasure and animation by Evan Grant.)Get TED Talks recommended just for you! Learn more at https://www.ted.com/signup.The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more.Follow TED on Twitter: http://www.twitter.com/TEDTalksLike TED on Facebook: https://www.facebook.com/TEDSubscribe to our channel: https://www.youtube.com/TED","TED","xYemnKEKx0c"
"32",0,"How to spot a liar | Pamela Meyer","On any given day we're lied to from 10 to 200 times, and the clues to detect those lie can be subtle and counter-intuitive. Pamela Meyer, author of Liespotting, shows the manners and """"hotspots"""" used by those trained to recognize deception -- and she argues honesty is a value worth preserving.Check out more TED Talks: http://www.ted.comThe TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more.Follow TED on Twitter: http://www.twitter.com/TEDTalksLike TED on Facebook: https://www.facebook.com/TEDSubscribe to our channel: https://www.youtube.com/TED","TED","P_6vDLq64gE"
